             0R,10,               ,"R22, R25, R26, R27, R29, R31, R32, R33, R41, R55",,,,
           1.5k,1,               ,R15,,,,
           100K,4,               ,"R4, R5, R36, R?",,,,
          100nF,53,               ,"C1, C2, C3, C4, C5, C10, C11, C12, C13, C14, C15, C19, C20, C21, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C74, C81, C88, C89, C90, C?",,,,
           100R,6,               ,"R43, R50, R51, R52, R53, R88",,,,
            10K,17,               ,"R6, R12, R37, R38, R45, R46, R47, R48, R71, R72, R73, R74, R86, R87, R93, R94, R95",,,,
           10pF,4,               ,"C27, C28, C29, C30",,,,
           10uF,12,               ,"C8, C9, C16, C17, C18, C50, C51, C54, C55, C82, C84, C85",,,,
            15k,3,               ,"R18, R19, R20",,,,
           15pF,3,               ,"C23, C24, C49",,,,
      18.432MHz,1,               ,X2,,,,
             1K,6,               ,"R49, R54, R89, R90, R91, R92",,,,
            1uF,4,               ,"C52, C53, C86, C87",,,,
           2.7K,2,               ,"R34, R35",,,,
          22.1K,1,               ,R7,,,,
           220R,1,               ,R58,,,,
            22k,1,               ,R21,,,,
          25MHz,1,               ,X1,,,,
           270R,7,               ,"R67, R68, R69, R70, R75, R76, R77",,,,
             2K,2,               ,"R13, R14",,,,
           3.3K,2,               ,"R56, R57",,,,
      32.768kHz,2,               ,"X3, X6",,,,
          330uF,2,               ,"C48, C83",,,,
           33pF,3,               ,"C6, C7, C22",,,,
            39R,4,               ,"R16, R17, R23, R24",,,,
          4.7nF,2,               ,"C72, C73",,,,
          4.7uF,2,               ,"C75, C76",,,,
           470k,4,               ,"R28, R30, R42, R44",,,,
          470nF,2,               ,"C77, C78",,,,
           470R,2,               ,"R80, R81",,,,
           47pF,4,               ,"C25, C26, C79, C80",,,,
         49.9%1,4,               ,"R8, R9, R10, R11",1%,,,
             5K,4,               ,"R82, R83, R84, R85",,,,
             5V,1,               ,D1,,,,
          82.5R,2,               ,"R78, R79",,,,
       ADC08060,1,               ,U15,,,,
         AP1122,1,               ,U20,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=AP1122EGDITR-ND,,,
      AT24C01BN,1,               ,U5,,,,
     AT45DB321D,1,               ,U4,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=AT45DB321D-SU-ND,,,
     AT91SAM9XE,1,               ,CPU1,,,,
