             0R;  9;               ;"R701, R702, R703, R704, R801, R802, R908, R1002, R1102"
           1.5k;  1;               ;"R906"
           100K;  4;               ;"R504, R601, R602, R1607"
          100nF; 60;               ;"C501, C502, C601, C602, C603, C604, C605, C701, C704, C705, C706, C707, C709, C710, C711, C713, C714, C715, C716, C717, C718, C720, C805, C806, C903, C905, C1001, C1002, C1101, C1102, C1103, C1104, C1105, C1106, C1107, C1205, C1206, C1207, C1208, C1209, C1211, C1212, C1214, C1215, C1701, C1702, C1703, C1704, C1705, C1706, C1707, C1708, C1709, C1710, C1711, C1712, C1713, C1714, C1715, C1716"
           100R;  6;               ;"R101, R102, R1702, R1703, R1704, R1705"
            10K;  5;               ;"R803, R1003, R1402, R1403, R1404"
           10nF;  1;               ;"C807"
           10pF;  4;               ;"C801, C802, C803, C804"
           10uF; 11;               ;"C702, C703, C708, C712, C719, C1203, C1204, C1401, C1602, C1604, C1605"
            15k;  3;               ;"R903, R904, R907"
           15pF;  2;               ;"C906, C907"
      18.432MHz;  1;               ;"X801"
             1K;  6;               ;"R502, R503, R506, R804, R1701, R1706"
            1nF;  1;               ;"C808"
            1uF;  1;               ;"C1901"
            22k;  1;               ;"R905"
           22pF;  2;               ;"C1201, C1202"
          25MHz;  1;               ;"X1201"
           3.3K;  2;               ;"R2001, R2002"
           300R;  1;               ;"R1401"
      32.768KHz;  1;               ;"X802"
           330R;  9;               ;"R603, R604, R605, R1206, R1207, R1405, R1406, R1407, R1602"
          330uF;  2;               ;"C1601, C1603"
           33pF;  1;               ;"C904"
            39R;  4;               ;"R901, R902, R909, R910"
           4.7K;  1;               ;"R1201"
          4.7nF;  2;               ;"C2001, C2002"
          4.7uH;  1;               ;"L701"
           470K;  3;               ;"R501, R1001, R1101"
           47pF;  2;               ;"C901, C902"
           47uF;  3;               ;"C1210, C1213, C1216"
         49.9%1;  4;               ;"R1202, R1203, R1204, R1205";  1%
     AP1122_1.2;  1;               ;"U1601";http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=AP1122EGDITR-ND
     AP1122_1.8;  1;               ;"U1403";http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=AP1122EGDITR-ND
     AP1122_2.5;  1;               ;"U1402";http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=AP1122EGDITR-ND
     AP1122_3.3;  1;               ;"U1401";http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=AP1122EGDITR-ND
     AT45DB321D;  1;               ;"U1001";http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=AT45DB321D-SU-ND
     AT91SAM9XE;  1;               ;"CPU701"
        BAT_CON;  1;               ;"CON501"
           CASE;  4;               ;"P101, P102, P103, P104"
CONN AUDIO JACK 3.5MM STEREO ;  1;               ;"CN_AU2001"
      CONN_10X2;  1;               ;"P404"
      CONN_12X2;  1;               ;"P201"
         CONN_2;  5;               ;"P501, P701, P801, P1001, P1601"
         CONN_3;  3;               ;"K801, K1201, K1202"
         CONN_5;  1;               ;"P502"
       CONN_6X2;  1;               ;"P403"
         CONN_7;  1;               ;"P503"
       CONN_7X2;  1;               ;"P202"
       CONN_9X2;  1;               ;"P304"
DOUBLE_SCH_KCOM_3COM;  1;               ;"D501"
        FUSE0.5;  1;               ;"F901"
       FXO-HC73;  1;               ;"OSC1901";631-1060-1-ND
 HZ0805C202R-10;  7;               ;"L901, L1001, L1201, L1202, L1203, L1204, L1205";http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=240-2396-1-ND
     JACK-PLUG0;  1;con-jack-SPC4077;"J1601"
         KS8721;  1;               ;"U1201"
            LED;  8;               ;"D601, D602, D603, D1402, D1403, D1404, D1701, D1702"
     MAX3223CAP;  1;   maxim-SSOP20;"IC601";http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-13090-1-ND
        MICROSD;  1;               ;"J1001"
MINI-USB-32005-201;  1;con-cypressindustries-32005-201;"X901"
  MT48LC16M16A2;  1;               ;"U1101"
           PAD2;  2;               ;"U502, U1002"
         PWRLED;  1;               ;"D1601"
     PWRLED_CON;  1;               ;"D1401"
   RJ45-TRANSFO;  1;               ;"J1201";http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=240-2396-1-ND
         SP6201;  1;               ;"U501"
         SW_ERA;  1;               ;"SW503"
  SW_PUSH_SMALL;  3;               ;"SW1402, SW1403, SW1404"
       SW_RESET;  1;               ;"SW502"
      SW_WAKEUP;  1;               ;"SW501"
     SWITCH_INV;  1;               ;"SW1401"
SWITCH_PUSHBUTTON;  1;               ;"SW601"
          USB_2;  1;               ;"J901"; VCC;  D+;  D-; GND
 XC3S250E-VQ100;  1;xilinx-xc3sxxxe_vq100-VQ100;"IC1701";http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=122-1525-ND
