ref	value	footprint
C501	100nF	
C502	100nF	
C601	100nF	
C602	100nF	
C603	100nF	
C604	100nF	
C605	100nF	
C701	100nF	
C702	10uF	
C703	10uF	
C704	100nF	
C705	100nF	
C706	100nF	
C707	100nF	
C708	10uF	
C709	100nF	
C710	100nF	
C711	100nF	
C712	10uF	
C713	100nF	
C714	100nF	
C715	100nF	
C716	100nF	
C717	100nF	
C718	100nF	
C719	10uF	
C720	100nF	
C801	10pF	
C802	10pF	
C803	10pF	
C804	10pF	
C805	100nF	
C806	100nF	
C807	10nF	
C808	1nF	
C901	47pF	
C902	47pF	
C903	100nF	
C904	33pF	
C905	100nF	
C906	15pF	
C907	15pF	
C1001	100nF	
C1002	100nF	
C1101	100nF	
C1102	100nF	
C1103	100nF	
C1104	100nF	
C1105	100nF	
C1106	100nF	
C1107	100nF	
C1201	22pF	
C1202	22pF	
C1203	10uF	
C1204	10uF	
C1205	100nF	
C1206	100nF	
C1207	100nF	
C1208	100nF	
C1209	100nF	
C1210	47uF	
C1211	100nF	
C1212	100nF	
C1213	47uF	
C1214	100nF	
C1215	100nF	
C1216	47uF	
C1401	10uF	
C1601	330uF	
C1602	10uF	
C1603	330uF	
C1604	10uF	
C1605	10uF	
C1701	100nF	
C1702	100nF	
C1703	100nF	
C1704	100nF	
C1705	100nF	
C1706	100nF	
C1707	100nF	
C1708	100nF	
C1709	100nF	
C1710	100nF	
C1711	100nF	
C1712	100nF	
C1713	100nF	
C1714	100nF	
C1715	100nF	
C1716	100nF	
C1901	1uF	
C2001	4.7nF	
C2002	4.7nF	
CN_AU2001	CONN AUDIO JACK 3.5MM STEREO 	
CON501	BAT_CON	
CPU701	AT91SAM9XE	
D501	DOUBLE_SCH_KCOM_3COM	
D601	LED	
D602	LED	
D603	LED	
D1401	PWRLED_CON	
D1402	LED	
D1403	LED	
D1404	LED	
D1601	PWRLED	
D1701	LED	
D1702	LED	
F901	FUSE0.5	
IC601	MAX3223CAP	maxim-SSOP20
IC1701	XC3S250E-VQ100	xilinx-xc3sxxxe_vq100-VQ100
J901	USB_2	
J1001	MICROSD	
J1201	RJ45-TRANSFO	
J1601	JACK-PLUG0	con-jack-SPC4077
K401	CONN_3	
K801	CONN_3	
K1201	CONN_3	
K1202	CONN_3	
L701	4.7uH	
L901	HZ0805C202R-10	
L1001	HZ0805C202R-10	
L1201	HZ0805C202R-10	
L1202	HZ0805C202R-10	
L1203	HZ0805C202R-10	
L1204	HZ0805C202R-10	
L1205	HZ0805C202R-10	
OSC1901	FXO-HC73	
P101	CASE	
P102	CASE	
P103	CASE	
P104	CASE	
P201	CONN_12X2	
P202	CONN_7X2	
P304	CONN_9X2	
P403	CONN_6X2	
P404	CONN_10X2	
P501	CONN_2	
P502	CONN_5	
P503	CONN_7	
P701	CONN_2	
P801	CONN_2	
P1001	CONN_2	
P1601	CONN_2	
R101	100R	
R102	100R	
R501	470K	
R502	1K	
R503	1K	
R504	100K	
R506	1K	
R601	100K	
R602	100K	
R603	330R	
R604	330R	
R605	330R	
R701	0R	
R702	0R	
R703	0R	
R704	0R	
R801	0R	
R802	0R	
R803	10K	
R804	1K	
R901	39R	
R902	39R	
R903	15k	
R904	15k	
R905	22k	
R906	1.5k	
R907	15k	
R908	0R	
R909	39R	
R910	39R	
R1001	470k	
R1002	0R	
R1003	10K	
R1101	470K	
R1102	0R	
R1201	4.7K	
R1202	49.9%1	
R1203	49.9%1	
R1204	49.9%1	
R1205	49.9%1	
R1206	330R	
R1207	330R	
R1401	300R	
R1402	10K	
R1403	10K	
R1404	10K	
R1405	330R	
R1406	330R	
R1407	330R	
R1602	330R	
R1607	100K	
R1701	1K	
R1702	100R	
R1703	100R	
R1704	100R	
R1705	100R	
R1706	1K	
R2001	3.3K	
R2002	3.3K	
SW501	SW_WAKEUP	
SW502	SW_RESET	
SW601	SWITCH_PUSHBUTTON	
SW1401	SWITCH_INV	
SW1402	SW_PUSH_SMALL	
SW1403	SW_PUSH_SMALL	
SW1404	SW_PUSH_SMALL	
U501	SP6201	
U502	PAD2	
U1001	AT45DB321D	
U1002	PAD2	
U1101	MT48LC16M16A2	
U1201	KS8721	
U1401	AP1122_3.3	
U1402	AP1122_2.5	
U1403	AP1122_1.8	
U1601	AP1122_1.2	
X801	18.432MHz	
X802	32.768KHz	
X901	MINI-USB-32005-201	con-cypressindustries-32005-201
X1201	25MHz	
